features,scaled,rand,sse,sil,fm,clusters
Rainfall,0,0.5517543859649123,363.32645316599366,0.20090994883345462,0.5828063416131595,9
WindGustDir,1,0.5009398496240601,3.7257057984047486,0.00010004928982667818,0.2511573113339469,9
WindGustDir,0,0.5011528822055138,37483.27390875808,-0.0012097211725931505,0.24826310065583776,9
WindGustSpeed,1,0.5009649122807017,9.876013311661026,-0.003121339320383758,0.28303614150449014,9
WindGustSpeed,0,0.5016791979949875,1823.921066174854,-0.00418225438712162,0.2977073426370951,9
WindDir9am,1,0.5010401002506266,3.805612719669942,0.007013787745699811,0.2595983327486154,9
WindDir9am,0,0.4982456140350877,38689.71790697027,-0.004541504204226481,0.2532478772866611,9
WindDir3pm,1,0.5014661654135338,3.506127673884738,0.0005948036467698007,0.24165919229734506,9
WindDir3pm,0,0.5014661654135338,39495.63345361383,0.0005948036467698007,0.24165919229734506,9
WindSpeed9am,1,0.4994486215538847,7.897264413506809,-0.0012516347623204426,0.2754599561360639,9
WindSpeed9am,0,0.4994486215538847,632.0261002444096,-0.0012642411211103142,0.27518687006307146,9
WindSpeed3pm,1,0.49854636591478696,8.579824297255877,-0.00280320650595662,0.2657468065374029,9
WindSpeed3pm,0,0.49842105263157893,763.5109854883345,-0.0022561144633522078,0.272016930793906,9
Humidity9am,1,0.5129448621553885,7.822663934993409,0.04464480664380949,0.2852646241808778,9
Humidity9am,0,0.5129448621553885,2285.7295952537756,0.04464480664380949,0.2852646241808778,9
Humidity3pm,1,0.5259398496240602,6.256466388219682,0.035193190358778104,0.2979586165847435,9
Humidity3pm,0,0.5259398496240602,3135.863739048875,0.035193190358778104,0.2979586165847435,9
Pressure9am,1,0.5064661654135338,10.542008462017987,-0.0005499254540183116,0.304080707495488,9
Pressure9am,0,0.5064661654135338,483.4094182277778,-0.0005499254540183116,0.304080707495488,9
Pressure3pm,1,0.5019423558897244,10.073157144314493,-0.0021194142096272817,0.28970251305159894,9
Pressure3pm,0,0.5019423558897244,462.3364587089437,-0.0021194142096272817,0.28970251305159894,9
Temp9am,1,0.5048120300751879,9.61688593694492,0.013707826305890862,0.26119772967131333,9
Temp9am,0,0.5048120300751879,348.24770348591727,0.013707826305890862,0.26119772967131333,9
Temp3pm,1,0.5083333333333333,10.546547875875572,0.005674400914594571,0.27877149519432226,9
Temp3pm,0,0.5083333333333333,504.108676811487,0.005674400914594571,0.27877149519432226,9
RainToday,1,0.5789473684210527,4.872202165871274e-28,0.24431896409749673,0.6098040248179332,9
RainToday,0,0.5789473684210527,1.5037661005775538e-30,0.24431896409749673,0.6098040248179332,9
phi,1,0.5378696741854636,2.4621523901289737,0.03403097270117816,0.3783004543940234,9
